,App Version Code,App Version Name,customer comment date,Star Rating,Customer_review
0,2.0,1.2.3,2019-09-08T16:52:39Z,5,"Que chevere, así no podré llamar para aveguriar mi saldo, también puedo hacer las transferencia de manera rápida y efectiva"
1,2.0,1.2.3,2019-09-11T15:16:01Z,5,Excelente opción para conocer los saldos de mi tarjeta Compensar y saber cuánto tengo de subsidio monetario.
2,2.0,1.2.3,2019-09-25T15:41:44Z,5,Me parece muy útil
3,2.0,1.2.3,2019-09-28T01:37:40Z,5,Excelente. Ya era hora de poder consultar el subsidio y demás en una app decente.
4,2.0,1.2.3,2019-10-16T11:43:09Z,1,No me ha sido util por que no da la opcion de registrarme
5,2.0,1.2.3,2019-10-21T14:41:31Z,5,Excelente nueva app. Sugerencias : avisen cambio de app. Tenía instalada la anterior y no me funcionaba. Solo decía que por el momento no funcionaba y que volviera a intentar más tarde
6,2.0,1.2.3,2019-10-24T02:45:35Z,3,No me acepta la clave
7,2.0,1.2.3,2019-10-25T13:00:26Z,5,"Tuve inconvenientes pero ya fueron solucionados, me parece super para tener control de mis créditos"
8,2.0,1.2.3,2019-11-27T01:10:14Z,5,"Excelente aplicación, de las mejores...! Super recomendada!!!"
9,2.0,1.2.3,2019-11-28T19:27:44Z,1,No me deja registrar ingreso mi correo y me dice que por favor ingrese un correo electrónico correcto y no se por que si lo estoy ingresando bien alguien que por favor me ayude
10,2.0,1.2.3,2019-11-30T22:48:13Z,4,Excelente aplicación..por varios días estaba pendiente ya puedo saber el estado de del subsidio y lo de las tarjetas..solo me gustaría saber...o si más adelante si pueden hacerlas pagos de las avances de las tarjetas..ya sea por PSE.
11,2.0,1.2.3,2019-12-02T03:58:43Z,3,En donde puedo usar el Token para retiro?
